[Header]																																																																																																															
GSGX Version	1.9.0																																																																																																														
Report Date	4.4.2013 12:24:09																																																																																																														
Project	40413																																																																																																														
Group Set	40413																																																																																																														
Analysis	040413_nonorm_nobkgd																																																																																																														
Normalization	none																																																																																																														
[Group Probe Profile]																																																																																																															
TargetID	ProbeID	9269324046_A.AVG_Signal	9269324046_A.MIN_Signal	9269324046_A.MAX_Signal	9269324046_A.NARRAYS	9269324046_A.ARRAY_STDEV	9269324046_A.BEAD_STDERR	9269324046_A.Avg_NBEADS	9269324046_A.Detection Pval	9269324046_B.AVG_Signal	9269324046_B.MIN_Signal	9269324046_B.MAX_Signal	9269324046_B.NARRAYS	9269324046_B.ARRAY_STDEV	9269324046_B.BEAD_STDERR	9269324046_B.Avg_NBEADS	9269324046_B.Detection Pval	9269324046_C.AVG_Signal	9269324046_C.MIN_Signal	9269324046_C.MAX_Signal	9269324046_C.NARRAYS	9269324046_C.ARRAY_STDEV	9269324046_C.BEAD_STDERR	9269324046_C.Avg_NBEADS	9269324046_C.Detection Pval	9269324046_D.AVG_Signal	9269324046_D.MIN_Signal	9269324046_D.MAX_Signal	9269324046_D.NARRAYS	9269324046_D.ARRAY_STDEV	9269324046_D.BEAD_STDERR	9269324046_D.Avg_NBEADS	9269324046_D.Detection Pval	9269324046_E.AVG_Signal	9269324046_E.MIN_Signal	9269324046_E.MAX_Signal	9269324046_E.NARRAYS	9269324046_E.ARRAY_STDEV	9269324046_E.BEAD_STDERR	9269324046_E.Avg_NBEADS	9269324046_E.Detection Pval	9269324046_F.AVG_Signal	9269324046_F.MIN_Signal	9269324046_F.MAX_Signal	9269324046_F.NARRAYS	9269324046_F.ARRAY_STDEV	9269324046_F.BEAD_STDERR	9269324046_F.Avg_NBEADS	9269324046_F.Detection Pval	9269324046_G.AVG_Signal	9269324046_G.MIN_Signal	9269324046_G.MAX_Signal	9269324046_G.NARRAYS	9269324046_G.ARRAY_STDEV	9269324046_G.BEAD_STDERR	9269324046_G.Avg_NBEADS	9269324046_G.Detection Pval	9269324046_H.AVG_Signal	9269324046_H.MIN_Signal	9269324046_H.MAX_Signal	9269324046_H.NARRAYS	9269324046_H.ARRAY_STDEV	9269324046_H.BEAD_STDERR	9269324046_H.Avg_NBEADS	9269324046_H.Detection Pval	9269324046_I.AVG_Signal	9269324046_I.MIN_Signal	9269324046_I.MAX_Signal	9269324046_I.NARRAYS	9269324046_I.ARRAY_STDEV	9269324046_I.BEAD_STDERR	9269324046_I.Avg_NBEADS	9269324046_I.Detection Pval	9269324046_J.AVG_Signal	9269324046_J.MIN_Signal	9269324046_J.MAX_Signal	9269324046_J.NARRAYS	9269324046_J.ARRAY_STDEV	9269324046_J.BEAD_STDERR	9269324046_J.Avg_NBEADS	9269324046_J.Detection Pval	9269324046_K.AVG_Signal	9269324046_K.MIN_Signal	9269324046_K.MAX_Signal	9269324046_K.NARRAYS	9269324046_K.ARRAY_STDEV	9269324046_K.BEAD_STDERR	9269324046_K.Avg_NBEADS	9269324046_K.Detection Pval	9269324046_L.AVG_Signal	9269324046_L.MIN_Signal	9269324046_L.MAX_Signal	9269324046_L.NARRAYS	9269324046_L.ARRAY_STDEV	9269324046_L.BEAD_STDERR	9269324046_L.Avg_NBEADS	9269324046_L.Detection Pval	SPECIES	SOURCE	SEARCH_KEY	TRANSCRIPT	ILMN_GENE	SOURCE_REFERENCE_ID	REFSEQ_ID	UNIGENE_ID	ENTREZ_GENE_ID	GI	ACCESSION	SYMBOL	PROTEIN_PRODUCT	PROBE_ID
A2BP1	5220554	104	104	104	1	NaN	2.482	20	0.71818	101.3	101.3	101.3	1	NaN	2.562	21	0.84416	106.2	106.2	106.2	1	NaN	2.723	29	0.61818	105.8	105.8	105.8	1	NaN	2.392	35	0.62597	99.2	99.2	99.2	1	NaN	3.605	29	0.93896	108	108	108	1	NaN	2.38	19	0.67922	96.7	96.7	96.7	1	NaN	2.129	26	0.93636	115.8	115.8	115.8	1	NaN	4.303	21	0.27532	109.1	109.1	109.1	1	NaN	2.342	19	0.64545	106.2	106.2	106.2	1	NaN	2.858	24	0.67532	108.6	108.6	108.6	1	NaN	3.231	27	0.31299	97.6	97.6	97.6	1	NaN	2.881	18	0.93766	Homo sapiens	RefSeq	NM_145891.1	ILMN_9081	A2BP1	NM_145891.1	NM_145891.1		54715	22538404	NM_145891.1	A2BP1	NP_665898.1	ILMN_2359168
A2BP1	5390438	102.7	102.7	102.7	1	NaN	7.915	11	0.78701	99.5	99.5	99.5	1	NaN	2.699	20	0.9039	101.2	101.2	101.2	1	NaN	2.96	19	0.86883	111.2	111.2	111.2	1	NaN	4.389	20	0.31818	100.2	100.2	100.2	1	NaN	5.075	17	0.91429	99.3	99.3	99.3	1	NaN	4.208	15	0.97273	99.6	99.6	99.6	1	NaN	2.206	25	0.84935	108.9	108.9	108.9	1	NaN	4.227	17	0.63377	101.6	101.6	101.6	1	NaN	2.96	24	0.94416	94.4	94.4	94.4	1	NaN	4.168	16	0.98831	98.7	98.7	98.7	1	NaN	3.782	13	0.88571	103.1	103.1	103.1	1	NaN	3.222	25	0.76494	Homo sapiens	RefSeq	NM_145893.1	ILMN_9675	A2BP1	NM_145893.1	NM_145893.1		54715	22538408	NM_145893.1	A2BP1	NP_665900.1	ILMN_1731507
A2BP1	6420681	118.7	118.7	118.7	1	NaN	5.901	19	0.11039	112.5	112.5	112.5	1	NaN	3.748	25	0.24026	113.8	113.8	113.8	1	NaN	3.858	27	0.22078	119.7	119.7	119.7	1	NaN	8.207	17	0.07662	115.7	115.7	115.7	1	NaN	5.374	20	0.17273	104.5	104.5	104.5	1	NaN	2.538	22	0.81299	117.1	117.1	117.1	1	NaN	4.62	20	0.06364	107.3	107.3	107.3	1	NaN	2.854	19	0.72468	117.7	117.7	117.7	1	NaN	3.195	24	0.21169	100.4	100.4	100.4	1	NaN	2.856	17	0.91818	101.7	101.7	101.7	1	NaN	4.141	20	0.72468	105.6	105.6	105.6	1	NaN	7.944	7	0.63247	Homo sapiens	RefSeq	NM_018723.2	ILMN_5821	A2BP1	NM_018723.2	NM_018723.2		54715	22538402	NM_018723.2	A2BP1	NP_061193.2	ILMN_1787689
A2LD1	4760377	394.8	394.8	394.8	1	NaN	17.921	22	0	356.7	356.7	356.7	1	NaN	14.821	20	0	309.1	309.1	309.1	1	NaN	9.32	21	0	293.1	293.1	293.1	1	NaN	12.036	23	0	365.4	365.4	365.4	1	NaN	13.112	27	0	370.4	370.4	370.4	1	NaN	12.578	20	0	264.2	264.2	264.2	1	NaN	8.157	22	0	287.1	287.1	287.1	1	NaN	12.064	21	0	366.4	366.4	366.4	1	NaN	18.306	21	0	360.7	360.7	360.7	1	NaN	13.232	22	0	323	323	323	1	NaN	13.999	20	0	311.5	311.5	311.5	1	NaN	14.269	16	0	Homo sapiens	RefSeq	NM_033110.1	ILMN_365133	A2LD1	NM_033110.1	NM_033110.1		87769	34147452	NM_033110.1	A2LD1	NP_149101.1	ILMN_3241953
A2M	2370438	1119	1119	1119	1	NaN	48.963	22	0	1021.3	1021.3	1021.3	1	NaN	62.68	23	0	707.8	707.8	707.8	1	NaN	32.143	30	0	785.7	785.7	785.7	1	NaN	40.755	27	0	1089	1089	1089	1	NaN	41.729	24	0	1059.5	1059.5	1059.5	1	NaN	74.924	19	0	755.6	755.6	755.6	1	NaN	30.782	19	0	1109.8	1109.8	1109.8	1	NaN	60.298	24	0	1092.7	1092.7	1092.7	1	NaN	55.06	18	0	1056	1056	1056	1	NaN	57.463	26	0	641.4	641.4	641.4	1	NaN	33.03	24	0	1060.1	1060.1	1060.1	1	NaN	84.555	12	0	Homo sapiens	RefSeq	NM_000014.4	ILMN_8023	A2M	NM_000014.4	NM_000014.4		2	66932946	NM_000014.4	A2M	NP_000005.2	ILMN_1745607
A2ML1	4050154	99	99	99	1	NaN	2.806	25	0.92468	106.9	106.9	106.9	1	NaN	3.849	12	0.52727	96.2	96.2	96.2	1	NaN	2.46	20	0.98571	93.6	93.6	93.6	1	NaN	3.152	19	0.9974	98.7	98.7	98.7	1	NaN	3.557	20	0.94416	97	97	97	1	NaN	4.364	9	0.99091	98.8	98.8	98.8	1	NaN	2.646	18	0.87532	106.6	106.6	106.6	1	NaN	6.093	15	0.74545	101.6	101.6	101.6	1	NaN	2.279	24	0.94416	103.9	103.9	103.9	1	NaN	4.128	17	0.78571	99.1	99.1	99.1	1	NaN	2.741	16	0.86104	96.3	96.3	96.3	1	NaN	3.667	21	0.96234	Homo sapiens	RefSeq	NM_144670.2	ILMN_17375	A2ML1	NM_144670.2	NM_144670.2		144568	74271844	NM_144670.2	A2ML1	NP_653271.2	ILMN_2136495
A3GALT2	1740066	93.2	93.2	93.2	1	NaN	2.349	15	0.9961	100.3	100.3	100.3	1	NaN	3.051	27	0.88961	92.9	92.9	92.9	1	NaN	3.037	20	0.9974	109.4	109.4	109.4	1	NaN	5.148	25	0.40909	102.3	102.3	102.3	1	NaN	2.774	24	0.85065	108.6	108.6	108.6	1	NaN	3.132	20	0.63636	105.9	105.9	105.9	1	NaN	3.744	30	0.48052	102.8	102.8	102.8	1	NaN	3.341	23	0.8961	110	110	110	1	NaN	3.497	33	0.60649	97	97	97	1	NaN	2.846	11	0.97403	106.4	106.4	106.4	1	NaN	2.878	19	0.42078	109.8	109.8	109.8	1	NaN	5.51	20	0.38961	Homo sapiens	RefSeq	XM_940724.1	ILMN_171902	A3GALT2	NM_001080438.1	NM_001080438.1		127550	122937274	NM_001080438.1	A3GALT2	NP_001073907.1	ILMN_1668111
A3GALT2	4830092	120	120	120	1	NaN	5.308	18	0.08571	108.3	108.3	108.3	1	NaN	2.656	17	0.43506	101.3	101.3	101.3	1	NaN	3.724	14	0.86104	105.1	105.1	105.1	1	NaN	3.693	14	0.66234	110.1	110.1	110.1	1	NaN	7.204	10	0.38701	108.7	108.7	108.7	1	NaN	4.015	20	0.63117	100.3	100.3	100.3	1	NaN	5.429	10	0.82078	119.4	119.4	119.4	1	NaN	9.208	12	0.16234	110.3	110.3	110.3	1	NaN	4.117	15	0.58442	109.3	109.3	109.3	1	NaN	3.506	18	0.4974	112.9	112.9	112.9	1	NaN	7.652	10	0.15584	118	118	118	1	NaN	4.663	13	0.11558	Homo sapiens	RefSeq	NM_001080438.1	ILMN_171902	A3GALT2	NM_001080438.1	NM_001080438.1		127550	122937274	NM_001080438.1	A3GALT2	NP_001073907.1	ILMN_2295559
A4GALT	3610072	126.2	126.2	126.2	1	NaN	2.331	18	0.02727	128.1	128.1	128.1	1	NaN	4.309	22	0.01688	109.3	109.3	109.3	1	NaN	3.664	22	0.42597	116.1	116.1	116.1	1	NaN	4.359	29	0.13766	145.2	145.2	145.2	1	NaN	6.282	23	0	126.4	126.4	126.4	1	NaN	3.459	20	0.04805	104.8	104.8	104.8	1	NaN	3.397	30	0.54805	114.7	114.7	114.7	1	NaN	2.952	18	0.31558	123.3	123.3	123.3	1	NaN	5.445	23	0.08182	116.8	116.8	116.8	1	NaN	4.394	13	0.2026	105.6	105.6	105.6	1	NaN	2.81	19	0.47143	120.9	120.9	120.9	1	NaN	3.678	21	0.06753	Homo sapiens	RefSeq	NM_017436.4	ILMN_25424	A4GALT	NM_017436.4	NM_017436.4		53947	55956926	NM_017436.4	A4GALT	NP_059132.1	ILMN_1735045
A4GNT	6480136	117.2	117.2	117.2	1	NaN	7.329	14	0.13896	133.1	133.1	133.1	1	NaN	5.729	12	0.00649	130.3	130.3	130.3	1	NaN	7.324	16	0.01688	123.5	123.5	123.5	1	NaN	3.714	22	0.04286	129.6	129.6	129.6	1	NaN	6.604	18	0.01688	125.2	125.2	125.2	1	NaN	3.301	21	0.05714	121.7	121.7	121.7	1	NaN	5.337	20	0.03117	137.3	137.3	137.3	1	NaN	4.588	16	0.01039	124.1	124.1	124.1	1	NaN	3.52	26	0.06883	126.2	126.2	126.2	1	NaN	7.269	13	0.04286	110.9	110.9	110.9	1	NaN	5.204	16	0.21169	122.1	122.1	122.1	1	NaN	6.019	9	0.05455	Homo sapiens	RefSeq	NM_016161.1	ILMN_19436	A4GNT	NM_016161.1	NM_016161.1		51146	7705858	NM_016161.1	A4GNT	NP_057245.1	ILMN_1680754
AAA1	2480367	103.5	103.5	103.5	1	NaN	4.673	14	0.73636	104.3	104.3	104.3	1	NaN	3.448	17	0.67792	111.6	111.6	111.6	1	NaN	2.879	16	0.2961	103.1	103.1	103.1	1	NaN	2.309	25	0.76623	100.6	100.6	100.6	1	NaN	2.247	25	0.9013	107.6	107.6	107.6	1	NaN	5.844	14	0.6987	103.5	103.5	103.5	1	NaN	2.568	23	0.63507	108.6	108.6	108.6	1	NaN	4.527	16	0.65195	110.4	110.4	110.4	1	NaN	2.658	27	0.57792	98.5	98.5	98.5	1	NaN	3.322	16	0.95455	103.3	103.3	103.3	1	NaN	5.291	16	0.62597	104.8	104.8	104.8	1	NaN	3.247	13	0.67013	Homo sapiens	RefSeq	NM_207284.1	ILMN_21956	AAA1	NM_207284.1	NM_207284.1		404744	46402493	NM_207284.1	AAA1	NP_997167.1	ILMN_2375184
AAA1	2750273	117	117	117	1	NaN	4.778	18	0.14286	132.4	132.4	132.4	1	NaN	4.716	22	0.00649	118.1	118.1	118.1	1	NaN	3.392	24	0.12078	117.5	117.5	117.5	1	NaN	4.538	18	0.10519	131.7	131.7	131.7	1	NaN	5.33	29	0.01169	139.8	139.8	139.8	1	NaN	5.382	26	0.00779	122.9	122.9	122.9	1	NaN	3.164	17	0.02468	125.5	125.5	125.5	1	NaN	4.204	22	0.05714	137.6	137.6	137.6	1	NaN	4.764	23	0.00779	146.9	146.9	146.9	1	NaN	6.314	23	0	125	125	125	1	NaN	4.144	29	0.01688	130	130	130	1	NaN	8.1	19	0.02078	Homo sapiens	RefSeq	NM_207290.1	ILMN_23093	AAA1	NM_207290.1	NM_207290.1		404744	46402503	NM_207290.1	AAA1	NP_997173.1	ILMN_1659452
AAA1	4560202	108.2	108.2	108.2	1	NaN	4.484	22	0.48052	107.5	107.5	107.5	1	NaN	3.551	29	0.48831	104.1	104.1	104.1	1	NaN	3.304	22	0.74026	106.2	106.2	106.2	1	NaN	2.781	31	0.6013	115.3	115.3	115.3	1	NaN	5.558	15	0.18052	117.9	117.9	117.9	1	NaN	3.649	30	0.17532	110	110	110	1	NaN	2.542	34	0.25974	117.1	117.1	117.1	1	NaN	4.665	21	0.23117	119.5	119.5	119.5	1	NaN	6.472	16	0.16494	119.2	119.2	119.2	1	NaN	3.662	28	0.13506	112.4	112.4	112.4	1	NaN	5.185	19	0.16753	118.5	118.5	118.5	1	NaN	5.37	23	0.1013	Homo sapiens	RefSeq	NM_207285.1	ILMN_22083	AAA1	NM_207285.1	NM_207285.1		404744	46402501	NM_207285.1	AAA1	NP_997168.1	ILMN_1767388
